Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2013,2013,Export,USA,Singapore,Beer made from malt,2203,2641971
2013,2013,Export,USA,Viet Nam,Beer made from malt,2203,964970
2013,2013,Export,USA,South Africa,Beer made from malt,2203,60380
2013,2013,Export,USA,Spain,Beer made from malt,2203,200017
2013,2013,Export,USA,Suriname,Beer made from malt,2203,139003
2013,2013,Export,USA,Sweden,Beer made from malt,2203,13999164
2013,2013,Export,USA,Switzerland,Beer made from malt,2203,215512
2013,2013,Export,USA,Thailand,Beer made from malt,2203,151817
2013,2013,Export,USA,Trinidad and Tobago,Beer made from malt,2203,1861992
2013,2013,Export,USA,United Arab Emirates,Beer made from malt,2203,3906369
2013,2013,Export,USA,Turkey,Beer made from malt,2203,445043
2013,2013,Export,USA,Turks and Caicos Isds,Beer made from malt,2203,769821
2013,2013,Export,USA,United Kingdom,Beer made from malt,2203,9218884
2013,2013,Export,USA,Uruguay,Beer made from malt,2203,422092
2013,2013,Export,USA,Samoa,Beer made from malt,2203,265597
2014,2014,Export,USA,Antigua and Barbuda,Beer made from malt,2203,54861
2014,2014,Export,USA,Argentina,Beer made from malt,2203,14400
2014,2014,Export,USA,Australia,Beer made from malt,2203,23776865
2014,2014,Export,USA,Austria,Beer made from malt,2203,5724
2014,2014,Export,USA,Bahamas,Beer made from malt,2203,2734016
2014,2014,Export,USA,Bahrain,Beer made from malt,2203,451998
2014,2014,Export,USA,Bangladesh,Beer made from malt,2203,60058
2014,2014,Export,USA,Barbados,Beer made from malt,2203,50011
2014,2014,Export,USA,Belgium,Beer made from malt,2203,2289938
2014,2014,Export,USA,Bermuda,Beer made from malt,2203,984606
2014,2014,Export,USA,Bolivia (Plurinational State of),Beer made from malt,2203,178286
2014,2014,Export,USA,Brazil,Beer made from malt,2203,2603031
2014,2014,Export,USA,Belize,Beer made from malt,2203,301366
2014,2014,Export,USA,Br. Virgin Isds,Beer made from malt,2203,1207933
2014,2014,Export,USA,Cambodia,Beer made from malt,2203,359883
2014,2014,Export,USA,Canada,Beer made from malt,2203,159853572
2014,2014,Export,USA,Cayman Isds,Beer made from malt,2203,1464764
2014,2014,Export,USA,Chile,Beer made from malt,2203,44023218
2014,2014,Export,USA,China,Beer made from malt,2203,8569694
2014,2014,Export,USA,Colombia,Beer made from malt,2203,6837179
