Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,152,Chile,CHL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,57040369,,57040369,,41245129,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,156,China,CHN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,6905921,,6905921,,9311349,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,170,Colombia,COL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,5638613,,5638613,,4454897,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,184,Cook Isds,COK,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,39695,,39695,,48775,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,188,Costa Rica,CRI,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,3303591,,3303591,,2332620,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,196,Cyprus,CYP,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,62352,,62352,,69216,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,204,Benin,BEN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,19520,,19520,,14898,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,208,Denmark,DNK,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1436832,,1436832,,1716885,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,3437160,,3437160,,3311221,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,218,Ecuador,ECU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2269614,,2269614,,1575213,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,222,El Salvador,SLV,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,988176,,988176,,874848,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,226,Equatorial Guinea,GNQ,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,4571,,4571,,4000,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,231,Ethiopia,ETH,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,11742,,11742,,10276,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,242,Fiji,FJI,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,104225,,104225,,67192,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,246,Finland,FIN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,450698,,450698,,603065,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,378713,,378713,,460163,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,258,French Polynesia,PYF,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,112417,,112417,,116728,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,645546,,645546,,1068302,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,296,Kiribati,KIR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,20221,,20221,,38800,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,300,Greece,GRC,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,86199,,86199,,72685,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,320,Guatemala,GTM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2381121,,2381121,,1550138,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,324,Guinea,GIN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,19051,,19051,,14541,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,332,Haiti,HTI,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,44952,,44952,,29580,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,340,Honduras,HND,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,10432866,,10432866,,7743157,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,3515204,,3515204,,2388746,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,352,Iceland,ISL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,13691,,13691,,15585,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,372,Ireland,IRL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,613399,,613399,,742591,,,4
H4,2013,2013,2013,4,0,2,Export,842,USA,USA,376,Israel,ISR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,412849,,412849,,327813,,,4
